,Chemical,Vacated 1989 OSHA PELs
244,Mesityl oxide,"TWA 15 ppm (60 mg/m3), ST 25 ppm (100 mg/m3)"
245,Methacrylic acid,TWA 20 ppm (70 mg/m3) [skin]
246,Methomyl,TWA 2.5 mg/m3
248,Methoxychlor,TWA 10 mg/m3
249,4-Methoxyphenol,TWA 5 mg/m3
250,Methyl acetate,"TWA 200 ppm (610 mg/m3), ST 250 ppm (760mg/m3)"
251,Methyl acetylene-propadien,"eTWA 1000 ppm (1800 mg/m3), ST 1250 ppm (2250 mg/m3)"
252,mixture,
253,Methylacrylonitrile,TWA 1 ppm (3 mg/m3) [skin]
254,Methyl alcohol,"TWA 200 ppm (260 mg/m3), ST 250 ppm (325mg/m3) [skin]"
255,Methyl bromide,TWA 5 ppm (20 mg/m3) [skin]
256,Methyl chloride,"TWA 50 ppm (105 mg/m3), ST 100 ppm (210 mg/m3)"
257,Methyl chloroform,"TWA 350 ppm (1900 mg/m3), ST 450 ppm (2450 mg/m3)"
258,Methyl-2-cyanoacrylate,"TWA 2 ppm (8 mg/m3), ST 4 ppm (16 mg/m3)"
259,Methylcyclohexane,TWA 400 ppm (1600 mg/m3)
261,Methylcyclohexanol,TWA 50 ppm (235 mg/m )
262,o-Methylcyclohexanone,"TWA 50 ppm (230 mg/m3), ST 75 ppm (345 mg/m3) [skin]"
263,Methyl cyclopentadienyl,TWA 0.2 mg/m3 [skin]
264,manganese tricarbonyl (as M,n)
265,Methyl demeton,TWA 0.5 mg/m3 [skin]
266,"4,4'-Methylenebis(2-chloro-",TWA 0.02 ppm (0.22 mg/m3) [skin]
267,aniline),
268,Methylene bis (4-cyclo-,C 0.01 ppm (0.11 mg/m3) [skin]
269,hexylisocyanate),
270,Methyl ethyl ketone peroxide,C 0.7 ppm (5 mg/m3)
271,Methyl formate,"TWA 100 ppm (250 mg/m3), ST 150 ppm (375mg/m3)"
272,Methyl iodide,TWA 2 ppm (10 mg/m3) [skin]
273,Methyl isoamyl ketone,TWA 50 ppm (240 mg/m3)
274,Methyl isobutyl carbinol,"TWA 25 ppm (100 mg/m3), ST 40 ppm (165 mg/m3) [skin]"
275,Methyl isopropyl ketone,TWA 200 ppm (705 mg/m3)
276,Methyl mercaptan,TWA 0.5 ppm (1 mg/m3)
277,Methyl parathion,TWA 0.2 mg/m3 [skin]
278,Methyl silicate,TWA 1 ppm (6 mg/m3)
279,α-Methyl styrene,"TWA 50 ppm (240 mg/m3), ST 100 ppm (485 mg/m3)"
280,Metribuzin,TWA 5 mg/m3
281,Mica,TWA 3 mg/m3 (resp)
282,Molybdenum (insoluble,TWA 10 mg/m3
283,"compounds, as Mo)",
284,Monocrotophos,TWA 0.25 mg/m3
285,Monomethyl aniline,TWA 0.5 ppm (2 mg/m3) [skin]
286,Morpholine,"TWA 20 ppm (70 mg/m3), ST 30 ppm (105 mg/m3) [skin]"
288,Naphthalene,"TWA 10 ppm (50 mg/m3), ST 15 ppm (75 mg/m3)"
289,Nickel metal & other,Metal & insoluble compounds: TWA 1 mg/m3
290,compounds (as Ni),Soluble compounds: TWA 0.1 mg/m3
291,Nitric acid,"TWA 2 ppm (5 mg/m3), ST 4 ppm (10 mg/m3)"
292,p-Nitroaniline,TWA 3 mg/m3 [skin]
293,Nitrogen dioxide,ST 1 ppm (1.8 mg/m3)
294,Nitroglycerine,ST 0.1 mg/m3 [skin]
295,2-Nitropropane,TWA 10 ppm (35 mg/m3)
296,"Nitrotoluene (o-, m-, p-isom",ers) TWA 2 ppm (11 mg/m ) [skin] 3
297,Nonane,TWA 200 ppm (1050 mg/m3)
298,Octachloronaphthalene,"TWA 0.1 mg/m3, ST 0.3 mg/m3 [skin]"
299,Octane,"TWA 300 ppm (1450 mg/m3), ST 375 ppm (1800 mg/m3)"
300,Osmium tetroxide (as Os),"TWA 0.002 mg/m3 (0.0002 ppm), ST 0.006 mg/m3(0.0006 ppm)"
301,Oxalic acid,"TWA 1 mg/m3, ST 2 mg/m3"
302,Oxygen difluoride,C 0.05 ppm (0.1 mg/m3)
303,Ozone,"TWA 0.1 ppm (0.2 mg/m3), ST 0.3 ppm (0.6mg/m3)"
304,Paraffin wax fume,TWA 2 mg/m3
305,Paraquat,TWA 0.1 mg/m3 (resp) [skin]A
306,Pentaborane,"TWA 0.005 ppm (0.01 mg/m3), ST 0.015 ppm(0.03 mg/m3) P"
308,Pentaerythritol,"TWA 10 mg/m3 (total), TWA 5 mg/m3 (resp)E"
309,n-Pentane,"TWA 600 ppm (1800 mg/m3), ST 750 ppm (2250 mg/m3) N"
311,2-Pentanone,"TWA 200 ppm (700 mg/m3), ST 250 ppm (875 mg/m3) I"
312,Perchloryl fluoride,"TWA 3 ppm (14 mg/m3), ST 6 ppm (28 mg/m3) X"
314,Petroleum distillates (napht,ha) TWA 400 ppm (1600 mg/m ) 3G
315,Phenothiazine,TWA 5 mg/m3 [skin]
316,Phenyl glycidyl ether,TWA 1 ppm (6 mg/m3)
